,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall,Complexity Avg
140,https://capitalone.com,FINANCE,US,VA,12.4,14.9,13.69,42.41,10.52,14.7,15.0,7.03,17.66
141,https://cnbc.com,FINANCE,US,NJ,13.3,15.0,14.21,34.66,10.45,14.9,15.0,7.0,16.78857142857143
142,https://bankrate.com,FINANCE,US,ID,8.4,10.5,10.61,63.59,8.85,11.8,11.0,8.0,17.82142857142857
143,https://bankofamerica.com,FINANCE,US,NC,8.0,9.8,10.03,64.51,7.93,11.3,8.0,6.24,17.08142857142857
144,https://chase.com,FINANCE,US,DE,11.2,12.9,12.93,45.46,9.1,13.7,13.0,6.58,16.89857142857143
145,https://westernunion.com,FINANCE,US,CO,6.7,8.0,9.73,67.96,7.48,9.5,8.0,7.15,16.767142857142854
146,https://nasdaq.com,FINANCE,US,CT,9.4,11.3,11.95,55.54,9.75,11.2,10.0,8.33,17.02
147,https://discover.com,FINANCE,US,IL,12.5,14.6,13.4,42.0,10.13,14.8,15.0,6.27,17.49
148,https://fidelity.com,FINANCE,US,MA,11.3,13.6,13.74,45.15,10.66,14.1,14.0,7.96,17.507142857142856
149,https://pnc.com,FINANCE,US,PA,10.2,12.0,13.04,48.09,9.08,12.8,13.0,7.53,16.887142857142855
150,https://usbank.com,FINANCE,US,MN,11.3,12.6,12.47,45.15,9.33,13.7,13.0,6.74,16.79285714285714
